id	multiple_choice	self_report	es_recall_wer	en_recall_wer	translation_wer	translation_semantic	in_upper_quartiles	did_translate	translation_word_count
12550	14	2	0.7500640040962622	3.4475005812601722	1.3783002657144534	0.7445986200000001	0	2	21
17551	12	3	0.5248975934459806	3.594943036503139	1.603298425712219	2.611049397	0	2	26
18430	16	7	2.385325994196962	3.142897000697512	10.31244765912958	7.041759140000001	1	2	73
15163	12	3	0.5706178528759174	2.9889599317988065	2.479979907147089	2.4817570210000004	0	2	22
14833	3	2	0.28328213005632374	2.4035224366426413	1.2007510033825823	1.022333244	0	2	23
15535	15	4	0.7422768390510326	4.154150197628459	5.8771432111949355	5.33823218	1	2	22
17581	15	4	0.8394990612732549	3.837367278927381	6.8942765345511345	6.31803266	1	2	30
15040	15	4	1.5218040621266429	3.645725800201504	7.363018401447194	6.480331025000001	1	2	54
15562	8	2	0.21678187403993854	3.4739944199023483	0	0	0	1	6
18298	12	4	0.8441286909028846	3.864504378826629	4.501145564961354	3.62672201	1	2	23
11434	15	7	3.2664917221368834	3.8290630086026507	16.160330682389507	10.198050259999999	1	2	93
18556	14	5	1.8066436251920124	4.316802294040146	11.628892939784203	8.42916996	1	2	45
18379	13	3	0.7134749957330602	2.6511276447337826	3.302439280107876	4.1226182300000005	1	2	22
14599	16	3	1.6024918928144734	2.9410059676044327	5.427824519896131	4.818756530000001	1	2	41
16897	6	2	0.2584485407066053	2.4287413779741143	1.8958039036986407	4.877160492	0	1	8
18574	10	3	0.3894649257552484	2.8279431140044955	1.7992060571007937	3.8677421289999994	0	2	14
18229	11	3	0.6402756443079025	2.9865070138727425	2.9637301295196035	3.9602215000000003	1	2	26
17803	12	2	0.483230926779314	2.653642563744866	3.769323379392029	5.698308236	1	2	19
17758	9	4	0.18452380952380953	2.7531736805394096	1.519862898352601	2.02559349	0	1	9
17602	12	4	1.5821385902031064	2.5991668604200573	4.3607649596780025	4.493643090000001	1	1	53
17650	10	2	0.032258064516129004	3.312326590715337	1.6621519213052394	3.3567901480000004	0	1	22
15997	11	2	0.7902585765488992	3.116550414632256	2.2014494277652172	3.9680130799999995	0	2	26
14434	11	2	0.3034220856801503	3.4659459040533207	2.2428238428238427	1.9867419239999997	0	1	27
11167	14	7	0.6359447004608295	2.0674920561109817	1.8282120657120653	3.1897266550000003	0	1	23
15037	5	3	0.18951612903225812	1.8159691544602032	0.4992424242424244	1.0847856275	0	2	14
18520	14	4	0.5235108380269672	3.712469968224444	3.874361749361749	4.311393506000001	1	2	22
12985	12	6	0.7098694316436253	3.3379485390994343	3.3614321763921304	4.057611069000001	1	1	34
18049	16	2	0.5729646697388633	3.037041773231032	2.931212208843788	3.0865107800000002	1	1	32
15475	9	3	0.37271718723331637	3.0081221421374873	2.2475069648124566	3.5108191940000006	0	2	19
17029	8	2	0.23367895545314898	2.5693947144075024	1.534793594778115	2.539852445	0	2	14
16261	14	2	0.7932027649769586	2.6008757653258936	3.480614618028805	4.231137596000001	1	2	24
18634	6	1	0.0692951015531661	1.0588041540726962	0	0	0	2	12
14284	16	3	0.8997482505547022	3.5309036658141517	5.942992032122467	4.926269680000001	1	2	37
15709	8	2	0.2371351766513058	1.227857862512594	0.9433925723399409	0.985256723	0	1	22
16963	14	2	0.7347030209933437	2.7876966596915445	2.711394977571448	3.79702652	0	2	29
14002	9	3	0.8142174432497014	2.0952181663179106	2.6936096926808997	2.9224267370000003	0	2	33
15367	5	3	0.447452636968766	3.2514647756335737	0.5230269730269731	0.0	0	2	13
12385	11	3	0.46501109404335206	2.682961326823219	2.211593755401805	1.5131766779999998	0	2	20
18610	9	2	0.19546850998463916	3.019910098426722	1.0789456057151157	2.282422603	0	2	21
16240	11	6	0.6921616316777608	3.002654421452375	4.237652584862203	4.722424888999999	1	2	32
10819	10	3	0.37536268987881904	1.8933155080213906	1.8655879208510786	2.0065585259999996	0	2	19
18238	10	1	1.3867554190134834	1.487456405487096	6.676459797512429	4.011790960000001	1	2	34
14794	10	3	0.3543480116060761	2.40200728512749	0.734768740031898	1.535518187	0	2	12
17236	7	2	0.427099334357399	0.18043478260869572	2.720737694351236	3.857345303	1	1	21
14797	10	1	0.04166666666666663	1.1722312640471206	0.5967439423321776	0.826814394	0	2	5
18817	13	4	1.03099931728964	3.762454467953189	7.637319517427876	6.233539020000001	1	2	52
18802	16	7	3.1740484724355693	4.079458265519646	15.576923076923077	10.734897250000001	1	2	97
18820	17	7	2.638995562382659	3.836499263737115	16.495474481658693	9.664810685	1	2	77
15187	8	2	0.24903993855606765	2.276962721847632	1.5567087565371316	2.055592677	0	1	12
18901	13	2	0.33384536610343063	3.2526505463845616	1.069951101530049	1.20101767	0	2	7
18922	16	4	0.7622674517835809	4.062586220258854	5.240571928071928	3.491390578	1	1	29
18925	14	4	0.5240228707970644	3.4355227466480662	7.7353272458535605	6.420585539999999	1	2	26
17368	12	2	0.31253200204813114	3.2623382159187786	0.8691150954308848	0.48468206799999997	0	2	14
18931	13	4	1.334784092848609	4.072928776253585	8.11879657131878	7.181851569999999	1	2	34
17620	12	4	0.6823050008533881	2.522343641013718	4.039478839014442	2.966035667	1	1	27
14767	9	2	0.16916282642089087	2.7279624893435637	0.9148479285779058	0.9107778049999999	0	1	11
19039	13	4	1.8548387096774195	2.63117492056111	9.837162837162838	6.66562356	1	2	62
18919	13	4	0.8025260283324799	2.682039060683562	4.901021153395296	6.0546093679999995	1	2	33
10531	14	3	0.5842080559822497	2.154169572967527	2.6688186209925338	1.7175378069999998	0	1	20
18583	14	3	0.8267835808158389	3.6371580252654425	5.617407290776856	6.4894978530000005	1	1	28
18871	15	3	1.0803891449052743	4.006331860807564	9.630584912163858	7.817791677	1	2	34
19162	8	2	0.032258064516129004	3.5499457490506083	0.4705128205128204	0.72772236	0	1	3
17842	4	3	0.032258064516129004	2.690475083313958	0	0	0	2	1
17596	12	2	0.43987881891107705	2.839347438580175	0.5312021312021311	1.14845124	0	1	21
19012	9	4	0.7912826420890937	3.6233395334418352	5.424125139566316	6.222192465999999	1	2	43
17254	12	4	0.6728963987028503	3.669642718747578	3.197265234765235	3.599437547	1	1	23
16681	8	2	0.378520225294419	2.3147950089126557	0.9614679751979525	2.27173022	0	2	21
10603	10	3	0.9040151903055129	3.256335735875378	3.8094726021499463	4.81677576	1	2	23
15916	13	4	0.695831199863458	3.0440827714485	2.965975033738191	3.2425777339999997	1	1	22
18082	11	3	0.79768305171531	2.904301325273192	2.590909090909091	1.9069684339999997	0	2	23
19489	14	3	0.47691585594811403	3.0053475935828873	2.202882205513785	1.357932118	0	1	21
18787	10	4	0.4492874210616147	2.052018910330931	3.3827575932839093	4.542140565	1	2	23
10894	10	3	0.3195084485407066	1.2122684646981323	1.0442839165665254	1.6229535570000002	0	2	16
14701	12	4	0.5163850486431132	1.7201929783771217	2.258145363408521	1.04577592	0	2	12
17149	11	3	0.6159540877282813	2.8562194838409676	2.2040161420966378	3.626052377	0	2	18
17116	14	3	0.8841099163679809	3.851193520886616	3.4069895112515254	2.22876707	1	2	23
17716	14	3	0.5157876770779997	2.9907308377896613	5.011771926903506	5.688387896	1	2	26
19288	12	2	0.4016683734425671	2.965562272339766	1.5432899848689323	2.005594896	0	2	19
19618	12	3	0.9822708653353815	2.842648996357436	4.022359524533437	5.3868041689999995	1	1	45
17278	16	3	1.2443249701314218	4.083666589165311	5.464856793533263	4.929078465	1	2	36
15667	5	3	0.39703874381293747	2.7386925521196623	6.298907233117759	6.601320589999999	1	1	22
15304	7	4	0.46633384536610356	3.97511043943269	0.2727272727272727	0	0	2	21
11323	11	3	0.4046765659668886	2.5137293652638926	1.0447061710219605	2.5912164499999997	0	2	25
18700	9	4	1.0594384707287934	3.6165426644966288	6.470790333381077	6.924925960000001	1	2	30
19663	12	4	0.7669610855094728	3.1187243276757344	2.135755150422333	2.3642807799999996	0	2	34
18805	13	4	0.5359276327018263	2.6805239091684108	3.804168857458331	6.215270403999999	1	2	12
16168	9	2	0.1215437788018433	3.106990622335891	1.4776066039223936	1.175025818	0	1	16
19738	12	4	0.7614567332309268	3.147895838177168	6.434470135128029	6.264472963999999	1	1	32
18877	13	5	1.0091739204642431	2.0145315043013254	9.320565502608844	7.038089715999999	1	2	40
17926	6	2	0.1428571428571429	1.6911377199100985	0	0	0	1	3
