SONA ID	Translations number	Original Spanish	Official translation	Machine translation	Learner translation	Edited translation	Closest translation with the same meaning	Notes
14434	1	Y para conseguirlo, es necesario decirlo de frente. Est? bien. Creo que podemos llegar a un acuerdo.	And to get it, I have to be very direct .All right. I think we can come to an agreement.	And to achieve it, it is necessary to say it in front. It's okay. I think we can reach an agreement.	that's fine	that's fine	And to get it, I have to be direct. Thats fine. I think we can come to an agreement. 	
17551	1	Y para conseguirlo, es necesario decirlo de frente. Est? bien. Creo que podemos llegar a un acuerdo.	And to get it, I have to be very direct .All right. I think we can come to an agreement.	And to achieve it, it is necessary to say it in front. It's okay. I think we can reach an agreement.	she wants to record something	she wants to record something	And to get it, I have to be direct. Thats fine. I think we can come to an agreement. 	
18430	1	Y para conseguirlo, es necesario decirlo de frente. Est? bien. Creo que podemos llegar a un acuerdo.	And to get it, I have to be very direct .All right. I think we can come to an agreement.	And to achieve it, it is necessary to say it in front. It's okay. I think we can reach an agreement.	i think that we can reach an agreement	i think that we can reach an agreement	And to get it, I have to be direct. Thats fine. I think that we can reach an agreement. 	
15163	1	Y para conseguirlo, es necesario decirlo de frente. Est? bien. Creo que podemos llegar a un acuerdo.	And to get it, I have to be very direct .All right. I think we can come to an agreement.	And to achieve it, it is necessary to say it in front. It's okay. I think we can reach an agreement.	how much did you pay for the agreement	how much did you pay for the agreement	And to get it, I have to be direct. Thats fine. I think that we can reach an agreement. 	
12985	1	Y para conseguirlo, es necesario decirlo de frente. Est? bien. Creo que podemos llegar a un acuerdo.	And to get it, I have to be very direct .All right. I think we can come to an agreement.	And to achieve it, it is necessary to say it in front. It's okay. I think we can reach an agreement.	very good	very good	And to get it, I have to be direct. Very good. I think that we can reach an agreement. 	
15535	1	Y para conseguirlo, es necesario decirlo de frente. Est? bien. Creo que podemos llegar a un acuerdo.	And to get it, I have to be very direct .All right. I think we can come to an agreement.	And to achieve it, it is necessary to say it in front. It's okay. I think we can reach an agreement.	and to continue we have to decide on	and to continue we have to decide on	And to get it, I have to be direct. Thats fine. I think we can come to an agreement. 	
17581	1	Y para conseguirlo, es necesario decirlo de frente. Est? bien. Creo que podemos llegar a un acuerdo.	And to get it, I have to be very direct .All right. I think we can come to an agreement.	And to achieve it, it is necessary to say it in front. It's okay. I think we can reach an agreement.	to get us i need to remember	to get us i need to remember	And to get it, I need to be direct. Thats fine. I think we can come to an agreement. 	
15040	1	Y para conseguirlo, es necesario decirlo de frente. Est? bien. Creo que podemos llegar a un acuerdo.	And to get it, I have to be very direct .All right. I think we can come to an agreement.	And to achieve it, it is necessary to say it in front. It's okay. I think we can reach an agreement.	we need to come to an agreement	we need to come to an agreement	And to get it, I need to be direct. Thats fine. I think we can come to an agreement. 	
18298	1	Y para conseguirlo, es necesario decirlo de frente. Est? bien. Creo que podemos llegar a un acuerdo.	And to get it, I have to be very direct .All right. I think we can come to an agreement.	And to achieve it, it is necessary to say it in front. It's okay. I think we can reach an agreement.	are you well	are you well	And to get it, I need to be direct. Thats fine. I think we can come to an agreement. 	
18574	1	Y para conseguirlo, es necesario decirlo de frente. Est? bien. Creo que podemos llegar a un acuerdo.	And to get it, I have to be very direct .All right. I think we can come to an agreement.	And to achieve it, it is necessary to say it in front. It's okay. I think we can reach an agreement.	they are sane	they are sane	And to get it, I need to be direct. Thats fine. I think we can come to an agreement. 	
11434	1	Y para conseguirlo, es necesario decirlo de frente. Est? bien. Creo que podemos llegar a un acuerdo.	And to get it, I have to be very direct .All right. I think we can come to an agreement.	And to achieve it, it is necessary to say it in front. It's okay. I think we can reach an agreement.	and to achieve that you need to be straightforward okay i think we can come to an agreement	and to achieve that you need to be straightforward okay i think we can come to an agreement	And to achieve that I need to be straightforward. Okay. I think we can come to an agreement.	
18556	1	Y para conseguirlo, es necesario decirlo de frente. Est? bien. Creo que podemos llegar a un acuerdo.	And to get it, I have to be very direct .All right. I think we can come to an agreement.	And to achieve it, it is necessary to say it in front. It's okay. I think we can reach an agreement.	it's ok i think we can arrive at an agreement	it's ok i think we can arrive at an agreement	And to get it, I have to be direct. it's ok. i think we can arrive at an agreement	
18379	1	Y para conseguirlo, es necesario decirlo de frente. Est? bien. Creo que podemos llegar a un acuerdo.	And to get it, I have to be very direct .All right. I think we can come to an agreement.	And to achieve it, it is necessary to say it in front. It's okay. I think we can reach an agreement.	it's good i agree	it's good i agree	And to get it, I need to be direct. Thats fine. I think we can come to an agreement. 	
